^oTEST-UNEXPECTED-FAIL |  | leaked 39692892 bytes during test execution~
TEST-UNEXPECTED-FAIL |  | leaked 85 bytes during test execution
TEST-UNEXPECTED-FAIL |  | negative leaks caught!S
TEST-UNEXPECTED-FAIL | 8 | missing output line for total leaks!e
;TEST-UNEXPECTED-FAIL |  | missing output line for total leaks!
TEST-UNEXPECTED-FAIL | B | negative leaks caught!
9TEST-UNEXPECTED-FAIL |  | negative leaks caught!
TEST-UNEXPECTED-FAIL |  | missing output line for total leaks!
DTEST-UNEXPECTED-FAIL | sx | negative leaks caught!iR-
TEST-UNEXPECTED-FAIL |  | leaked 8 bytes during test execution

TEST-UNEXPECTED-FAIL | ] | negative leaks caught!
6TEST-UNEXPECTED-FAIL |  | negative leaks caught!
@TEST-UNEXPECTED-FAIL | ^ | leaked 7 bytes during test execution
?TEST-UNEXPECTED-FAIL |  | missing output line for total leaks!
V\aVTEST-UNEXPECTED-FAIL |  | missing output line for total leaks!
TEST-UNEXPECTED-FAIL |  | leaked 2 bytes during test execution
gTEST-UNEXPECTED-FAIL |  | leaked 8 bytes during test execution
TEST-UNEXPECTED-FAIL | SD4 | negative leaks caught!
TEST-UNEXPECTED-FAIL | \ | leaked 92284 bytes during test execution
TEST-UNEXPECTED-FAIL |  | leaked 4 bytes during test executionxb&@
x$KTEST-UNEXPECTED-FAIL | `E | missing output line for total leaks!B
TEST-UNEXPECTED-FAIL |  | missing output line for total leaks!
STEST-UNEXPECTED-FAIL |  | negative leaks caught!
w\0;^TEST-UNEXPECTED-FAIL |  | negative leaks caught!-
\ek2TEST-UNEXPECTED-FAIL |  | negative leaks caught!+
tTEST-UNEXPECTED-FAIL |  | leaked 5 bytes during test execution](J}?
TEST-UNEXPECTED-FAIL |  | missing output line for total leaks!
1TEST-UNEXPECTED-FAIL |  | negative leaks caught!
TEST-UNEXPECTED-FAIL | i> | negative leaks caught!
TEST-UNEXPECTED-FAIL | T9Q | negative leaks caught!
TEST-UNEXPECTED-FAIL |  | negative leaks caught!1K
TEST-UNEXPECTED-FAIL |  | negative leaks caught!
TEST-UNEXPECTED-FAIL |  | leaked 9 bytes during test execution*
TEST-UNEXPECTED-FAIL |  | missing output line for total leaks!B
TEST-UNEXPECTED-FAIL | l | leaked 996 bytes during test execution
8TEST-UNEXPECTED-FAIL | KM | leaked 7 bytes during test execution
TEST-UNEXPECTED-FAIL |  | missing output line for total leaks!fH
`$TEST-UNEXPECTED-FAIL | ` | missing output line for total leaks!V
VTEST-UNEXPECTED-FAIL |  | negative leaks caught!L
TEST-UNEXPECTED-FAIL | 8 | missing output line for total leaks!
HTEST-UNEXPECTED-FAIL |  | negative leaks caught!
(TEST-UNEXPECTED-FAIL |  | negative leaks caught!
LTEST-UNEXPECTED-FAIL | y | negative leaks caught!
vTEST-UNEXPECTED-FAIL | t | missing output line for total leaks!F.
TEST-UNEXPECTED-FAIL |  | negative leaks caught!
GYuTEST-UNEXPECTED-FAIL |  | leaked 934 bytes during test execution,\
%#sTEST-UNEXPECTED-FAIL |  | missing output line for total leaks!R
TEST-UNEXPECTED-FAIL |  | leaked 28 bytes during test executionR
2LjTEST-UNEXPECTED-FAIL |  | leaked 9 bytes during test execution
TEST-UNEXPECTED-FAIL | (c | leaked 8 bytes during test execution
4TEST-UNEXPECTED-FAIL | !# | negative leaks caught!b
\a^r8JTEST-UNEXPECTED-FAIL |  | leaked 4 bytes during test executionD
TEST-UNEXPECTED-FAIL |  | missing output line for total leaks!
?TEST-UNEXPECTED-FAIL |  | leaked 3999 bytes during test execution@
aTEST-UNEXPECTED-FAIL |  | negative leaks caught!
25TEST-UNEXPECTED-FAIL | v | negative leaks caught!'L
TEST-UNEXPECTED-FAIL | p-F | leaked 81 bytes during test executiong
TEST-UNEXPECTED-FAIL | N6 | negative leaks caught!
TEST-UNEXPECTED-FAIL |  | leaked 7 bytes during test execution
(x~\"TEST-UNEXPECTED-FAIL | ># | leaked 2786 bytes during test execution
S\a4TEST-UNEXPECTED-FAIL |  | negative leaks caught!
TEST-UNEXPECTED-FAIL | lh | missing output line for total leaks!
vTEST-UNEXPECTED-FAIL |  | leaked 0 bytes during test execution
zTEST-UNEXPECTED-FAIL | . | missing output line for total leaks!
$-TEST-UNEXPECTED-FAIL | ~ | negative leaks caught!
TEST-UNEXPECTED-FAIL | k | missing output line for total leaks!0
&1$OJTEST-UNEXPECTED-FAIL |  | negative leaks caught!
xTEST-UNEXPECTED-FAIL | |Err | missing output line for total leaks!-a@f
TEST-UNEXPECTED-FAIL | 4 | leaked 7 bytes during test executionN
-TEST-UNEXPECTED-FAIL | ' | missing output line for total leaks!1
TEST-UNEXPECTED-FAIL |  | leaked 77 bytes during test execution
TEST-UNEXPECTED-FAIL | = | missing output line for total leaks!
TEST-UNEXPECTED-FAIL | < | negative leaks caught!_
TEST-UNEXPECTED-FAIL |  | leaked 9 bytes during test execution
TEST-UNEXPECTED-FAIL | n | leaked 848 bytes during test execution
XFOQ_TEST-UNEXPECTED-FAIL | ` | leaked 6 bytes during test execution
&TEST-UNEXPECTED-FAIL |  | negative leaks caught!v
TEST-UNEXPECTED-FAIL | T | negative leaks caught!
TEST-UNEXPECTED-FAIL |  | missing output line for total leaks!v
TEST-UNEXPECTED-FAIL | N= | negative leaks caught!
k\aTEST-UNEXPECTED-FAIL |  | negative leaks caught!
;TEST-UNEXPECTED-FAIL |  | missing output line for total leaks!+
y'TEST-UNEXPECTED-FAIL | q | negative leaks caught!
TEST-UNEXPECTED-FAIL |  | missing output line for total leaks!U
TEST-UNEXPECTED-FAIL |  | leaked 8 bytes during test execution5
-TEST-UNEXPECTED-FAIL |  | negative leaks caught!
P~PTEST-UNEXPECTED-FAIL | m | missing output line for total leaks!kwO
	TEST-UNEXPECTED-FAIL |  | leaked 4 bytes during test execution/
TEST-UNEXPECTED-FAIL |  | leaked 69987 bytes during test executionRx
