"uniqueSourceID","ct"
"0","27"
"1","1"
"2","12"
"3","2"
"4","1"
"5","2"
"6","8"
"7","1"
"8","2"
"9","40"
"10","1"
"11","7"
"12","615"
"13","5"
"14","7"
"15","1"
"16","2"
"17","3"
"18","21"
"19","1"
"20","2"
"21","10"
"22","9"
"23","7"
"24","8"
"25","6"
"26","2"
"27","12"
"28","3"
"29","8"
"30","1"
"31","172"
"32","18"
"33","8"
"34","2"
"35","3"
"36","7"
"37","4"
"38","8"
"39","1"
"40","1"
"41","2"
"42","10"
"43","96"
"44","8"
"45","3"
"46","26"
"47","1"
"48","1"
"49","4"
"50","1"
"51","3"
"52","33"
"53","55"
"54","3"
"55","178"
"56","6"
"57","1"
"58","6"
"59","4"
"60","12"
"61","4"
"62","1"
"63","1"
"64","11"
"65","13"
"66","1"
"67","1"
"68","2"
"69","2"
"70","2"
"71","1"
"72","21"
"73","3"
"74","3"
"75","8"
"76","3"
"77","1"
"78","5"
"79","3"
"80","33"
"81","1"
"82","147"
"83","4"
"84","19"
"85","1"
"86","7"
"87","2"
"88","7"
"89","147"
"90","6"
"91","1"
"92","2"
"93","9"
"94","8"
"95","2"
"96","19"
"97","1"
"98","16"
"99","1"
"100","3"
"101","41"
"102","11"
"103","41"
"104","2"
"105","1"
"106","1"
"107","37"
"108","19"
"109","79"
"110","37"
"111","3"
"112","2"
"113","105"
"114","17"
"115","4"
"116","4"
"117","4"
"118","1"
"119","70"
"120","1"
"121","3"
"122","83"
"123","11"
"124","4"
"125","2"
"126","227"
"127","3"
"128","1"
"129","3"
"130","42"
"131","1"
"132","3"
"133","1"
"134","1"
"135","25"
"136","1"
"137","1"
"138","27"
"139","44"
"140","10"
"141","6"
"142","3"
"143","13"
"144","5"
"145","6"
"146","2"
"147","216"
"148","41"
"149","2"
"150","3"
"151","4"
"152","11"
"153","75"
"154","1"
"155","1"
"156","2"
"157","18"
"158","1"
"159","2"
"160","2"
"161","6"
"162","55"
"163","9"
"164","3"
"165","10"
"166","4"
"167","11"
"168","8"
"169","29"
"170","6"
"171","63"
"172","2"
"173","65"
"174","15"
"175","21"
"176","7"
"177","3"
"178","12"
"179","27"
"180","3"
"181","209"
"182","168"
"183","2"
"184","2"
"185","8"
"186","6"
"187","5"
"188","45"
"189","3"
"190","193"
"191","5"
"192","1"
"193","3"
"194","5"
"195","4"
"196","1"
"197","2"
"198","1"
"199","5"
"200","138"
"201","13"
"202","2"
"203","8"
"204","2"
"205","2"
"206","15"
"207","2"
"208","6"
"209","1"
"210","14"
"211","1"
"212","6"
"213","13"
"214","1"
"215","1"
"216","1"
"217","1"
"218","17"
"219","1"
"220","145"
"221","1"
"222","4"
"223","2"
"224","5"
"225","225"
"226","1"
"227","3"
"228","23"
"229","2"
"230","2"
"231","1"
"232","67"
"233","36"
"234","1"
"235","1"
"236","55"
"237","4"
"238","4"
"239","1"
"240","4"
