GAG-69ATK;9/8,7/80997
EUL9GMX;1/4493,6561/1
OYK+917DHZ;063798/3,3/9
DAU67ANZ;99/966,88/8999
HZO9IKM;8/399,8/7
GJK+1FJH;779/8,8/3
ZVH+9GLG;1/0,9/9
PMD+9FYO;71/9,86/9281
NZZ+9ZZS;4/6487,486/64
BIZ-9PVD;4/7,2/856
XSX9TBA;899/2,57/8
ZZF-7EYZ;8/4,9/9
IQW-2LQA;84/5,2/42
RZS-1YSZ;349859/768,9/850
IEX-49284LZD;90/99,0/0
TOS988AYG;8888/1213,9/4033
EBD8429JWZ;98/921,9/874
DZR+99TRN;8/8,1/8
CGR5HLQ;80/88,8/569
SDO+92KAJ;7/1,6/89988
YZG-97ZTA;1/8,99/0
UMZ-6ALA;9/29,9799/1
RAQ1PUT;2/3,9/24
JYZ5CHU;68988/42,4/7
ETK-83ZRQ;7/8,2848/88099
AZX+99XDR;7691/7,0/8
ZLZ-9QKI;5/53,4/438
LJI9RZZ;5/49,93/89
GGH253HSZ;7/40304,889/626
IMJ6MDY;2/97,9/8
HIM5VPN;37/5,96928/98
RRG8DPQ;2920/89,054/888875
FZV-19PID;89/8,8/15
RRU5696YRA;28/8,988/5499684
GFD2GSX;98/83,894/8
QHP7QKP;90298883/9,4/9
VZG-7ZXX;6/8,989/3
YQA88878HSX;8/6,44/88
ULY-55FRZ;9875/6,0/9
GMS-5YAN;91/0954,9/9
BYA0KSE;424/598,0/9
OYR-58IZI;3/688855,1/84
FAU+8GEQ;99/9,82/5
IJP989SEL;8/9,6/7
RLE-3DFJ;8/9,8/9
ZZY8GZN;59/4,0/920
JWF1BZZ;29/3,0/889
BYJ4EMG;3/898,2/9
ZMA-8YUD;094/8699,3/7
ZKD-9GIV;84897/48,8/93
ZXI9CGJ;8/3,0/99
JRP-9FMX;56/881,7/9
VRR9ZVN;9/86,68/7
PZP-5VZB;9/358811,94/97
KFF-86NAL;9/3,8/5
TFJ0SVZ;3/8,832593249/6
CPU-1LZS;5/6,8/8
ZBY099ZAQ;31/8,5/80
ANY3EZD;8/9,9/3
YXG8SIS;78/28,130/6
DME5ZWK;5/88,7/4985
XKY8ZWW;8/9,4/0865
YUP349WIG;98/99891,19/4
AGZ549UYO;08944/89580,1199/4
XAC7EPB;198/9,8/1
YYY-4XVH;44/9,27/2
BQH+6AKS;01/8,1/54
UIG+7YHK;26898/8,8/945
OHU278OXV;60/58,5668/69
DZU2ZKE;6/1,4/99
JVN-6XJW;6/89,96/2
YXZ+747194569HHC;8/9,416/8
EVE+8VWC;918/86,0963/84
OHL894RGZ;7/9,988/9388
GZK8BZJ;8/6,9/803
UAH-9TAQ;82/8,9/782896
XZK8495OXM;589/896,89992/2
LGX+7KLG;17/998,7/948
SOZ-9BNL;33/19,9/7739
YYN19ODA;89/86,59/8848
XEZ899PJJ;9058/69,98/946
AOC4GXX;0/3,49/73
JFB-8QXB;98/8,8/0
FYT7ZEW;8/52,8/8
WUQ969689DPI;88982/31,1/09
XNZ-7983393NHH;6/74,2/35
WQZ61SBH;686/945,7/1
XYZ+2STZ;9588/4,28/0
ZSZ2SKT;38/8,83/9
APX93AKC;5/9,0968387/9090
GLZ9NAO;9/90,09/895
NNJ-832NNB;98/0,86103/88
ZZD9CZZ;9951/1,89/3
XSZ98026TCI;6/8889,1/2
ZUH8FCC;3/789,685/29
ZZF-64NUI;2/2,5/9
IZF-003XEK;88957537/8546,98/7
TBP+89PRE;1881/974,87/5
UTZ68ZES;853/0,4/9
GZF+59XYG;5/589,9/59
UKC38WBW;262/9,7/3582
YYN0758AZE;8/9,8/8
UDX+8AEA;7981/4,00/582
AYD88LCA;93899/384,1/0
GYY8OQJ;2/5,0/2
VXP9ZOV;3291/9,18098/9
CYK-5PUM;88/98,936860869/4
YBZ-82XZH;8/9,5/0
VNZ5ZHT;89422/898,0/19
