pixel_at(9282,28)$should_be_brighter_than pixel_at(099,81)G
pixel_at(4,9382)should_be_brighter_than pixel_at(45,29)
pixel_at(9,1)Vshould_be_brighter_than pixel_at(728,88)\0iO
pixel_at(38,7)should_be_brighter_than pixel_at(9,8)}0
pixel_at(688,7899),should_be_brighter_than pixel_at(3,98)\">
pixel_at(48,8)should_be_brighter_than pixel_at(879158,2)iX
pixel_at(58,93)4should_be_brighter_than pixel_at(36996,89)BG\
pixel_at(90,28)0should_be_brighter_than pixel_at(989,62)
pixel_at(4,4294)bshould_be_brighter_than pixel_at(8,99)
pixel_at(58,08)should_be_brighter_than pixel_at(592377,017)
pixel_at(158,89)should_be_brighter_than pixel_at(59496,8)ap
pixel_at(31,96)should_be_brighter_than pixel_at(69,8)
pixel_at(6,495);should_be_brighter_than pixel_at(1,318)e
pixel_at(9,918)Nshould_be_brighter_than pixel_at(1,198)a
pixel_at(7,6)should_be_brighter_than pixel_at(686806,1)6
pixel_at(9,4)ishould_be_brighter_than pixel_at(8,95)
pixel_at(998,02)%should_be_brighter_than pixel_at(7,9)
pixel_at(51,9)Cshould_be_brighter_than pixel_at(3,2)s
pixel_at(9,7)Ishould_be_brighter_than pixel_at(46,988)l&
pixel_at(98,799)-should_be_brighter_than pixel_at(89,86)9
pixel_at(1868,3895)should_be_brighter_than pixel_at(93,97)
pixel_at(08,8)]should_be_brighter_than pixel_at(9,8888)
pixel_at(88,1)should_be_brighter_than pixel_at(1,993)'
pixel_at(439,9)should_be_brighter_than pixel_at(7,898)
pixel_at(289,34)Ushould_be_brighter_than pixel_at(02,43)g
pixel_at(03,0)eshould_be_brighter_than pixel_at(8289,758))
pixel_at(09,619)vshould_be_brighter_than pixel_at(64,15)
pixel_at(2,5)&should_be_brighter_than pixel_at(89,2)
pixel_at(8,793)should_be_brighter_than pixel_at(55,20)
pixel_at(48836,87)^should_be_brighter_than pixel_at(90,299)Dv
pixel_at(500,69)ashould_be_brighter_than pixel_at(94,8)
pixel_at(91,994)should_be_brighter_than pixel_at(899,9)}
